frameId,timestamp,num_hands,num_fingers,rh_confidence,rh_pinch_st,rh_grab_st,rh_thumb_x_dip,rh_thumb_y_dip,rh_thumb_z_dip,rh_thumb_x_pip,rh_thumb_y_pip,rh_thumb_z_pip,rh_thumb_x_mcp,rh_thumb_y_mcp,rh_thumb_z_mcp,rh_index_x_dip,rh_index_y_dip,rh_index_z_dip,rh_index_x_pip,rh_index_y_pip,rh_index_z_pip,rh_index_x_mcp,rh_index_y_mcp,rh_index_z_mcp,rh_middle_x_dip,rh_middle_y_dip,rh_middle_z_dip,rh_middle_x_pip,rh_middle_y_pip,rh_middle_z_pip,rh_middle_x_mcp,rh_middle_y_mcp,rh_middle_z_mcp,rh_ring_x_dip,rh_ring_y_dip,rh_ring_z_dip,rh_ring_x_pip,rh_ring_y_pip,rh_ring_z_pip,rh_ring_x_mcp,rh_ring_y_mcp,rh_ring_z_mcp,rh_pinky_x_dip,rh_pinky_y_dip,rh_pinky_z_dip,rh_pinky_x_pip,rh_pinky_y_pip,rh_pinky_z_pip,rh_pinky_x_mcp,rh_pinky_y_mcp,rh_pinky_z_mcp,lh_confidence,lh_pinch_st,lh_grab_st,lh_thumb_x_dip,lh_thumb_y_dip,lh_thumb_z_dip,lh_thumb_x_pip,lh_thumb_y_pip,lh_thumb_z_pip,lh_thumb_x_mcp,lh_thumb_y_mcp,lh_thumb_z_mcp,lh_index_x_dip,lh_index_y_dip,lh_index_z_dip,lh_index_x_pip,lh_index_y_pip,lh_index_z_pip,lh_index_x_mcp,lh_index_y_mcp,lh_index_z_mcp,lh_middle_x_dip,lh_middle_y_dip,lh_middle_z_dip,lh_middle_x_pip,lh_middle_y_pip,lh_middle_z_pip,lh_middle_x_mcp,lh_middle_y_mcp,lh_middle_z_mcp,lh_ring_x_dip,lh_ring_y_dip,lh_ring_z_dip,lh_ring_x_pip,lh_ring_y_pip,lh_ring_z_pip,lh_ring_x_mcp,lh_ring_y_mcp,lh_ring_z_mcp,lh_pinky_x_dip,lh_pinky_y_dip,lh_pinky_z_dip,lh_pinky_x_pip,lh_pinky_y_pip,lh_pinky_z_pip,lh_pinky_x_mcp,lh_pinky_y_mcp,lh_pinky_z_mcp
-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14431,9797260884,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.914501,0.518262,0.315359,-40.8318,201.813,70.6014,-51.1856,192.869,102.554,-82.2669,168.132,134.36,-30.0795,214.647,20.4038,-43.7511,223.771,38.761,-68.1958,226.717,74.9829,-52.1109,209.403,0.197777,-67.1469,218.609,23.2099,-88.9155,222.56,67.0849,-77.2027,202.942,-1.65687,-91.2099,210.027,21.8193,-109.642,212.745,63.3827,-104.112,192.866,9.52552,-114.208,197.687,26.0301,-126.438,199.245,59.9028
14433,9797266457,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.90173,0.5191,0.314598,-40.8612,201.894,70.6769,-51.1836,192.968,102.645,-82.2455,168.256,134.49,-30.1403,214.543,20.4904,-43.7851,223.715,38.8439,-68.2039,226.806,75.0711,-52.1918,209.353,0.300581,-67.1963,218.594,23.3191,-88.9352,222.66,67.1984,-77.3178,203.071,-1.56597,-91.2848,210.134,21.9409,-109.672,212.856,63.5239,-104.233,192.952,9.65807,-114.297,197.779,26.1807,-126.481,199.365,60.0688
14434,9797275972,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.902443,0.520109,0.314069,-40.8944,201.919,70.7094,-51.1621,193.049,102.71,-82.2015,168.393,134.62,-30.1618,214.42,20.5808,-43.7847,223.646,38.9235,-68.1868,226.895,75.1481,-52.2375,209.306,0.394174,-67.2153,218.583,23.4155,-88.9278,222.754,67.2981,-77.3869,203.162,-1.47521,-91.3226,210.218,22.0521,-109.673,212.959,63.6502,-104.248,192.914,9.82623,-114.307,197.789,26.3374,-126.492,199.473,60.2204
14436,9797294455,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.907088,0.517954,0.313766,-41.0442,201.857,71.1228,-51.2402,193.028,103.158,-82.3783,168.29,134.908,-30.1774,214.101,20.9988,-43.8046,223.394,39.3044,-68.2549,226.812,75.481,-52.2618,209.222,0.717663,-67.2393,218.473,23.7496,-88.9914,222.692,67.6079,-77.4004,203.161,-1.17391,-91.3483,210.194,22.3533,-109.741,212.916,63.9338,-104.121,192.655,10.2083,-114.244,197.614,26.6549,-126.568,199.447,60.4799
14437,9797303825,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.909289,0.515165,0.316475,-41.1123,201.957,71.4204,-51.263,193.103,103.463,-82.4622,168.236,135.052,-30.1857,213.928,21.207,-43.8075,223.263,39.4952,-68.2724,226.771,75.6533,-52.2707,209.185,0.882215,-67.2432,218.426,23.9212,-89.0088,222.669,67.7705,-77.3943,203.04,-0.992868,-91.347,210.112,22.52,-109.765,212.91,64.0846,-104.138,192.665,10.3533,-114.263,197.625,26.7983,-126.6,199.454,60.619
14439,9797324945,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.915351,0.508584,0.321997,-41.1924,202.077,71.8228,-51.2799,193.188,103.876,-82.5623,168.153,135.249,-30.1815,213.66,21.4636,-43.7978,222.973,39.7668,-68.2767,226.708,75.8928,-52.2805,209.129,1.10447,-67.2386,218.355,24.1592,-89.0151,222.637,67.9992,-77.3502,202.786,-0.707895,-91.3206,209.958,22.7639,-109.781,212.906,64.299,-104.16,192.688,10.5556,-114.284,197.648,27.0016,-126.632,199.473,60.8182
14441,9797341419,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.917876,0.505073,0.320265,-41.2083,202.045,71.9942,-51.27,193.159,104.056,-82.6031,168.094,135.354,-30.1641,213.551,21.5837,-43.7752,222.823,39.9117,-68.2548,226.662,76.0262,-52.2884,209.087,1.22082,-67.2278,218.305,24.2908,-88.9978,222.617,68.1312,-77.3646,202.92,-0.61848,-91.3126,210.02,22.8883,-109.775,212.91,64.4267,-104.177,192.669,10.6793,-114.295,197.646,27.1237,-126.64,199.498,60.9399
14442,9797350579,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.921652,0.502879,0.317847,-41.2117,201.896,72.0848,-51.2641,193.05,104.16,-82.6826,168.035,135.414,-30.1326,213.33,21.6525,-43.7234,222.605,39.994,-68.1963,226.581,76.0981,-52.2615,209.022,1.27645,-67.1731,218.225,24.3704,-88.9491,222.588,68.2027,-77.3811,203.032,-0.590308,-91.2964,210.081,22.9513,-109.749,212.932,64.4966,-104.402,192.758,10.6334,-114.424,197.701,27.147,-126.646,199.56,61.0073
14444,9797379344,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.913851,0.498188,0.305937,-41.233,201.809,72.2583,-51.2732,192.982,104.343,-82.8124,167.971,135.477,-30.1518,213.133,21.6861,-43.7083,222.402,40.0562,-68.145,226.484,76.1732,-52.2272,208.808,1.37575,-67.1119,218.051,24.4711,-88.9105,222.557,68.2777,-77.4845,203.676,-0.685514,-91.3177,210.426,22.9919,-109.741,212.966,64.5704,-104.479,192.67,10.7003,-114.462,197.656,27.2246,-126.68,199.649,61.079
14446,9797397406,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.901971,0.497098,0.307211,-41.2258,201.724,72.3238,-51.2814,192.914,104.409,-82.8933,167.938,135.497,-30.1746,213.008,21.6994,-43.7119,222.291,40.0764,-68.131,226.432,76.1985,-52.2637,208.778,1.37382,-67.1228,218.013,24.4887,-88.9027,222.54,68.3025,-77.4882,203.631,-0.655806,-91.3092,210.39,23.0259,-109.749,212.984,64.5941,-104.548,192.67,10.7051,-114.503,197.66,27.2451,-126.709,199.694,61.1011
14448,9797415959,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.895978,0.496506,0.308088,-41.2071,201.657,72.4124,-51.2912,192.851,104.489,-82.9809,167.897,135.516,-30.202,212.848,21.722,-43.7181,222.165,40.0979,-68.1206,226.373,76.2234,-52.3156,208.738,1.35246,-67.1347,217.927,24.511,-88.8985,222.515,68.3265,-77.5168,203.57,-0.634907,-91.321,210.347,23.0516,-109.76,212.993,64.6167,-104.577,192.619,10.7339,-114.517,197.628,27.277,-126.742,199.732,61.1221
